,regio3,geo_plz,streetPlain,houseNumber,lon,lat
2588,Riedberg,60438.0,Graf-von-Stauffenberg-Allee,,0.0,0.0
2589,Sachsenhausen_Süd,60599.0,"Sachsenhäuser,_Landwehrweg",171.0,0.0,0.0
2590,Fechenheim,60386.0,,,0.0,0.0
2591,Eschersheim,60431.0,Lindenring,41.0,8.654136825472527,50.15526145
2592,Bockenheim,60486.0,,,0.0,0.0
2593,Bockenheim,60486.0,,,0.0,0.0
2594,Gallusviertel,60486.0,,,0.0,0.0
2595,Sindlingen,65931.0,Sindlinger-Bahnstraße,58.0,8.5156132,50.0838583
2596,Sachsenhausen_Süd,60599.0,,,0.0,0.0
2597,Westend_Nord,60323.0,August-Siebert-Straße,16.0,8.66432766617647,50.1251558
2598,Bockenheim,60487.0,Leipzigerstr.,19.0,8.648354349521522,50.1211297
2599,Sachsenhausen_Nord,60596.0,Paul-Ehrlich-Straße,32.0,8.666617782918994,50.096400200000005
2600,Nordend_West,60318.0,Zeißelstraße,20.0,8.690191266340783,50.1242774
2601,Bahnhofsviertel,60329.0,Niddastr._,0.0,8.6640275,50.1096334
2602,Praunheim,60488.0,,,0.0,0.0
2603,Sachsenhausen_Süd,60598.0,Mittlerer_Hasenpfad_,0.0,8.6838644,50.0927953
2604,Nordend_Ost,60385.0,Petterweilstrasse,31.0,0.0,0.0
2605,Westend_Süd,60323.0,Wöhlerstr._,0.0,8.6669068,50.1179682
2606,Höchst,65929.0,,,0.0,0.0
2607,Innenstadt,60313.0,,,0.0,0.0
2608,Westend_Nord,60322.0,Hansaallee,,0.0,0.0
2609,Eschersheim,60433.0,Nußzeil_,0.0,8.6632346,50.1551256
2610,Riedberg,60438.0,Zur_Kalbacher_Höhe,17.0,8.63698920738636,50.178176199999996
2611,Rödelheim,60489.0,Am_Hopfengarten_,0.0,8.6086605,50.1228241
2612,Riedberg,60438.0,Ilse-Bing-Straß,12.0,0.0,0.0
2613,Niederrad,60528.0,Lyonerstr.,19.0,8.624485471556243,50.081535450000004
2614,Ostend,60385.0,Röderbergweg,120.0,8.711424677132563,50.115890300000004
2615,Bahnhofsviertel,60329.0,,,0.0,0.0
2616,Praunheim,60487.0,,,0.0,0.0
2617,Ostend,60314.0,Röderbergweg,9.0,8.700922295706604,50.1133406
2618,Rödelheim,60489.0,Im_Füldchen,44747.0,8.6167264,50.1225493
2619,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2620,Bockenheim,60486.0,,,0.0,0.0
2621,Ostend,60314.0,Oskar-von-Miller-Straße,18.0,8.696271651994822,50.10891255
2622,Sachsenhausen_Nord,60596.0,Gartenstraße,96.0,8.672770452742089,50.101023049999995
2623,Schwanheim,60529.0,,,0.0,0.0
2624,Nordend_West,60318.0,Hebelstraße,16.0,8.6866084,50.1213059
2625,Bockenheim,60487.0,,,0.0,0.0
2626,Riedberg,60438.0,,,0.0,0.0
2627,Schwanheim,60529.0,,,0.0,0.0
2628,Nied,65934.0,Ferdinand-Scholling-Ring,30.0,8.582678600000001,50.1052972
2629,Nordend_West,60322.0,Finkenhofstr.,0.0,8.6764605,50.1204456
2630,Bockenheim,60486.0,,,0.0,0.0
2631,Hausen,60488.0,,,0.0,0.0
2632,Preungesheim,60435.0,Am_Klarapfel,2.0,8.699562703188072,50.15587675
2633,Bockenheim,60486.0,Römischer_Ring,0.0,0.0,0.0
2634,Bahnhofsviertel,60329.0,,,0.0,0.0
2635,Bockenheim,60486.0,Pariser_Straße,18.0,0.0,0.0
2636,Nordend_Ost,60389.0,Walter-Hesselbach-Straße,54.0,0.0,0.0
2637,Unterliederbach,65929.0,,,0.0,0.0
2638,Sachsenhausen_Nord,60594.0,Deutschherrnufer,50.0,8.703378371199797,50.105589699999996
2639,Altstadt,60311.0,Seckbächer_Gasse,5.0,8.6769069,50.1088126
2640,Nordend_West,60318.0,,,0.0,0.0
2641,Bockenheim,60487.0,Zeppelinallee_,0.0,8.6447371,50.129809
2642,Bockenheim,60486.0,Leonardo-da-Vinci-Allee,,0.0,0.0
2643,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2644,Innenstadt,60313.0,,,0.0,0.0
2645,Gallusviertel,60326.0,,,0.0,0.0
2646,Griesheim,65933.0,,,0.0,0.0
2647,Gutleutviertel,69329.0,,,0.0,0.0
2648,Ostend,60314.0,Röderbergweg,24.0,8.70371184130526,50.1138572
2649,Berkersheim,60435.0,An_der_Roseneller,,0.0,0.0
2650,Innenstadt,60313.0,Heiligkreuzgasse,13.0,8.691417229242546,50.1152553
2651,Westend_Nord,60323.0,,,0.0,0.0
2652,Gallusviertel,60326.0,Münsterer_Straße,19.0,8.633841911394178,50.103287249999994
2653,Ostend,60314.0,Ferdinand-Happ-Straße,13.0,8.710294771488151,50.11292335
2654,Fechenheim,60386.0,,,0.0,0.0
2655,Sachsenhausen_Süd,60598.0,Tucholskystraße,81.0,8.687182731189758,50.09183925
2656,Sachsenhausen_Süd,60599.0,,,0.0,0.0
2657,Nordend_West,60322.0,,,0.0,0.0
2658,Innenstadt,60313.0,,,0.0,0.0
2659,Nordend_Ost,60316.0,,,0.0,0.0
2660,Westend_Süd,60322.0,Im_Sachsenlager,15.0,8.674690949999999,50.12038665
2661,Sachsenhausen_Nord,60594.0,Gerbermühlstraße,0.0,8.695385,50.1048623
2662,Nordend_West,60318.0,Nordendstr._,0.0,8.6875186,50.1286027
2663,Bockenheim,60486.0,Pfingstbrunnenstraße,22.0,8.6385622,50.1159749
2664,Griesheim,65933.0,,,0.0,0.0
2665,Westend_Süd,60322.0,Gärtnerweg,41.0,8.673632257229142,50.11884745
2666,Ostend,60316.0,Am_Tiergarten,26.0,8.701901841214774,50.11396105
2667,Sachsenhausen_Nord,60596.0,,,0.0,0.0
2668,Nordend_West,60318.0,,,0.0,0.0
2669,Westend_Süd,60323.0,,,0.0,0.0
2670,Rödelheim,60489.0,,,0.0,0.0
2671,Bornheim,60358.0,Bergerstr.,414.0,0.0,0.0
2672,Eckenheim,60435.0,Niedergärtenstraße,22.0,8.6803065,50.1518558
2673,Bahnhofsviertel,60329.0,Münchener_Straße,55.0,8.6664354,50.1067773
2674,Heddernheim,60439.0,,,0.0,0.0
2675,Bockenheim,60487.0,,,0.0,0.0
2676,Bergen_Enkheim,60388.0,Neuer_Weg,43.0,8.749474644679196,50.151254449999996
2677,Altstadt,60311.0,Braubachstraße,25.0,8.683666,50.1112004
2678,Riedberg,60438.0,Altenhöferallee,70.0,8.63096658873827,50.177600299999995
2679,Dornbusch,60320.0,Schönwetterstrasse,4.0,8.682410414083334,50.13963855
2680,Nordend_West,60318.0,Eschenheimer_Anlage,16.0,8.68573903886525,50.11996175
2681,Innenstadt,60313.0,,,0.0,0.0
2682,Sachsenhausen_Nord,60594.0,,,0.0,0.0
2683,Innenstadt,60322.0,Hochstraße,,0.0,0.0
2684,Bahnhofsviertel,60329.0,Niddastrasse,35.0,8.666318775402779,50.11026665
2685,Gallusviertel,60326.0,Mainzer_Landstraße,323.0,8.6370899,50.102063
2686,Gallusviertel,60326.0,Mainzer_Landstraße,258.0,8.6414066,50.1029805
2687,Niederrad,60528.0,Paul-Gerhardt-Ring,82.0,8.640571585676382,50.07756775
2688,Dornbusch,60320.0,Eschersheimer_Landstraße,270.0,8.670587744333336,50.140684
2689,Sachsenhausen_Nord,60594.0,,,0.0,0.0
2690,Bockenheim,60487.0,Ginnheimer_Str.,41.0,8.640686449072678,50.1276844
2691,Ostend,60385.0,,,0.0,0.0
2692,Bockenheim,60486.0,Robert-Mayer_Straße,33.0,8.647010319891908,50.116949649999995
2693,Altstadt,60311.0,,,0.0,0.0
2694,Fechenheim,60386.0,Alt-Fechenheim,0.0,8.7674559,50.1290662
2695,Altstadt,60311.0,Braubachstraße,23.0,8.683856277065473,50.111269899999996
2696,Innenstadt,60311.0,Kirchnerstraße,3.0,8.674987,50.111098
2697,Westend_Süd,60325.0,,,0.0,0.0
2698,Nordend_Ost,60316.0,Luisenstraße,,0.0,0.0
2699,Bockenheim,60486.0,Pfingstbrunnenstraße,24.0,8.63861,50.1162119
2700,Gallusviertel,60326.0,Krifteler_Str.,15.0,8.633600838418172,50.0997325
2701,Oberrad,60599.0,Goldbergweg,0.0,8.7142801,50.0961349
2702,Niederrad,60528.0,Lyoner_Straße,30.0,8.622975643309179,50.080984599999994
2703,Sachsenhausen_Nord,60594.0,Zum_Apothekerhof,2.0,8.697765281452938,50.1056471
2704,Bockenheim,60486.0,Manskopfstraße,3.0,8.63373455,50.1131198
2705,Fechenheim,60386.0,Konstanzer_Straße,65.0,8.767118104449688,50.121905350000006
2706,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2707,Westend_Süd,60325.0,Kettenhofweg,0.0,8.65841,50.1162626
2708,Innenstadt,60313.0,Meisengasse,32.0,8.676031872871226,50.11587735
2709,Bornheim,60389.0,,,0.0,0.0
2710,Nied,65934.0,Josef-Benner-Weg,33.0,8.5853541,50.1067002
2711,Gallusviertel,60486.0,Europa-Allee_,138.0,8.62464666972135,50.10803265
2712,Bornheim,60385.0,Saalburgallee,2.0,8.710190426046776,50.12516345
2713,Eckenheim,60435.0,Gummersbergstrasse,18.0,8.684987,50.1452631
2714,Rödelheim,60489.0,,,0.0,0.0
2715,Fechenheim,60386.0,,,0.0,0.0
2716,Nordend_West,60322.0,Baustraße,14.0,8.676696997015306,50.1226431
2717,Sachsenhausen_Süd,60599.0,Hainer_Weg,80.0,8.69366941388715,50.0972193
2718,Preungesheim,60435.0,Gundelandstr.,20.0,8.698562550699384,50.1562932
2719,Gallusviertel,60326.0,Mainzer_Landstr.,,0.0,0.0
2720,Sachsenhausen_Süd,60599.0,Wendelsweg,42.0,8.69478104209087,50.09867295
2721,Nordend_Ost,60316.0,Luisenstr._,0.0,8.695777,50.1206077
2722,Nordend_West,60318.0,,,0.0,0.0
2723,Nieder_Erlenbach,60437.0,,,0.0,0.0
2724,Sachsenhausen_Nord,60594.0,,,0.0,0.0
2725,Ginnheim,60431.0,Rebgärten,58.0,8.652211090837422,50.13843075
2726,Praunheim,60439.0,,,0.0,0.0
2727,Gallusviertel,60326.0,Hattersheimerstr._,7.0,8.63743012965713,50.1049823
2728,Sachsenhausen_Nord,60596.0,Stresemannallee,11.0,8.669435010093169,50.0993174
2729,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2730,Gallusviertel,60326.0,,,0.0,0.0
2731,Riedberg,60438.0,Gräfin-Dönhoff,3.0,8.636277235170827,50.17907795
2732,Sachsenhausen_Süd,60599.0,,,0.0,0.0
2733,Sachsenhausen_Süd,60598.0,Mailänderstraße,5.0,8.690598701509327,50.090793500000004
2734,Höchst,65929.0,Königsteiner_Straße,62.0,8.5447923,50.1050853
2735,Sachsenhausen_Nord,60596.0,,,0.0,0.0
2736,Innenstadt,60313.0,,,0.0,0.0
2737,Ostend,60316.0,Am_Tiergarten,0.0,8.6998541,50.1152708
2738,Bergen_Enkheim,60388.0,Erlenseerstraße,0.0,8.7591317,50.1583051
2739,Nordend_Ost,60316.0,Friedberger_Anlage,19.0,8.694576300405764,50.1169897
2740,Sachsenhausen_Nord,60596.0,Cranachstr.,17.0,8.679185349360347,50.102161800000005
2741,Westend_Süd,60325.0,Rüsterstrasse,13.0,8.662930701818743,50.1128506
2742,Gallusviertel,60327.0,Rudolfstraße,20.0,8.65743281372433,50.10738085
2743,Niederrad,60528.0,,,0.0,0.0
2744,Riedberg,60438.0,Friedrich-Bergius-Weg,3.0,8.624359237535188,50.1777039
2745,Ostend,60314.0,Ostbahnhofstraße,,0.0,0.0
2746,Sachsenhausen_Nord,60594.0,Zum_Gipelhof,12.0,8.7012491,50.1046099
2747,Ostend,60314.0,,,0.0,0.0
2748,Sachsenhausen_Nord,60594.0,Willemerstr._,0.0,8.6915959,50.1042519
2749,Bockenheim,60486.0,,,0.0,0.0
2750,Eschersheim,60433.0,,,0.0,0.0
2751,Sachsenhausen_Nord,60594.0,Schweizer_Strasse,0.0,8.6829343,50.0989691
2752,Hausen,60488.0,,,0.0,0.0
2753,Berkersheim,60435.0,Am_Hohlacker,69.0,8.699532908589525,50.17454255
2754,Gallusviertel,60237.0,Koblenzer_Str.,39.0,8.64544121222729,50.106023449999995
2755,Bockenheim,60487.0,,,0.0,0.0
2756,Fechenheim,60386.0,,,0.0,0.0
2757,Westend_Nord,60323.0,Fürstenbergerstr.,227.0,8.667134660790273,50.12375635
2758,Bockenheim,60487.0,Rossittener_Straße,9.0,8.626120314516587,50.12423665
2759,Sachsenhausen_Nord,60594.0,Gerbermühlstraße,25.0,8.695385,50.1048623
2760,Nied,65934.0,Oeserstraße,84.0,8.576882764614243,50.1052653
2761,Nordend_West,60318.0,Zeisselstraße,20.0,8.690191266340783,50.1242774
2762,Heddernheim,60439.0,Hedderheimer_Landstrasse,67.0,0.0,0.0
2763,Bockenheim,60487.0,,,0.0,0.0
2764,Bockenheim,60486.0,Schloßstraße_,0.0,8.6410382,50.1205766
2765,Rödelheim,60489.0,,,0.0,0.0
2766,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2767,Nordend_Ost,60316.0,Merianplatz_/_Berger_Strasse,0.0,8.6950815,50.1199769
2768,Sossenheim,65936.0,,,0.0,0.0
2769,Westend_Süd,60323.0,Myliusstraße,53.0,8.660735722874154,50.12230595
2770,Westend_Süd,60325.0,Beethovenstr._,0.0,8.6560233,50.1155187
2771,Westend_Süd,60325.0,Bettinastraße,31.0,8.659470170833332,50.1115499
2772,Gallusviertel,60329.0,,,0.0,0.0
2773,Sachsenhausen_Nord,60596.0,Schweizer_Straße,0.0,8.6796452,50.103244
2774,Bornheim,60385.0,,,0.0,0.0
2775,Niederrad,60528.0,Hahnstraße,,0.0,0.0
2776,Nordend_Ost,60389.0,Rothschildallee,65.0,8.6930319507758,50.12865495
2777,Niederrad,60528.0,Schwanheimerstrasse,48.0,8.64220136940894,50.08807025
2778,Bockenheim,60486.0,Ederstraße_14,,0.0,0.0
2779,Altstadt,60311.0,,,0.0,0.0
2780,Riedberg,60438.0,Im_Kreuzegut,10.0,8.635220278964244,50.17804565
2781,Bockenheim,60486.0,Römerscher_Ring,45.0,0.0,0.0
2782,Niederrad,60528.0,,,0.0,0.0
2783,Nordend_West,60318.0,Scheffelstraße,11.0,8.6875993,50.1205917
2784,Gallusviertel,60326.0,,,0.0,0.0
2785,Rödelheim,60489.0,,,0.0,0.0
2786,Bockenheim,60486.0,,,0.0,0.0
2787,Zeilsheim,65931.0,,,0.0,0.0
2788,Nieder_Eschbach,60437.0,,,0.0,0.0
2789,Fechenheim,60386.0,Dieburger_Straße,14.0,8.768029989594243,50.11536485
2790,Westend_Süd,60323.0,,,0.0,0.0
2791,Ostend,60314.0,Ferdinand-Happ-Straße,13.0,8.710294771488151,50.11292335
2792,Westend_Süd,60325.0,,,0.0,0.0
2793,Höchst,65929.0,,,0.0,0.0
2794,Westend_Nord,60322.0,Wolfsgangstrasse,0.0,8.6750198,50.1241226
2795,Bornheim,60385.0,Bornheimer_Landwehr,0.0,8.711447,50.1225399
2796,Nordend_Ost,60389.0,Walter-Hesselbach-Straße,54.0,0.0,0.0
2797,Gallusviertel,60327.0,Europa-Allee,39.0,8.648238321610071,50.10835385
2798,Sachsenhausen_Nord,60596.0,,,0.0,0.0
2799,Westend_Süd,60325.0,,,0.0,0.0
2800,Gallusviertel,60486.0,,,0.0,0.0
2801,Hausen,60488.0,,,0.0,0.0
2802,Kalbach,60437.0,Im_Brombeerfeld,54.0,8.64457313798411,50.1895339
2803,Nordend_Ost,60316.0,,,0.0,0.0
2804,Höchst,65929.0,Gebeschusstraße,56.0,8.538764632017546,50.1034151
2805,Bahnhofsviertel,60329.0,Gutleutstraße,44.0,8.667526226659959,50.1056131
2806,Nordend_West,60322.0,,,0.0,0.0
2807,Ostend,60314.0,,,0.0,0.0
2808,Sachsenhausen_Nord,60594.0,,,0.0,0.0
2809,Sachsenhausen_Nord,60594.0,,,0.0,0.0
2810,Nordend_West,60318.0,,,0.0,0.0
2811,Ostend,60384.0,,,0.0,0.0
2812,Ostend,60314.0,Hanauer_Landstraße,57.0,8.702303668935713,50.1131602
2813,Oberrad,60599.0,Offenbacher_Landstraße,137.0,8.7163153,50.0995833
2814,Gallusviertel,60326.0,,,0.0,0.0
2815,Westend_Süd,60323.0,,,0.0,0.0
2816,Gallusviertel,60326.0,,,0.0,0.0
2817,Nordend_West,60318.0,,,0.0,0.0
2818,Sachsenhausen_Süd,60598.0,,,0.0,0.0
2819,Niederursel,60439.0,,,0.0,0.0
2820,Nordend_West,60322.0,Finkenhofstr._,0.0,8.6764605,50.1204456
2821,Sachsenhausen_Süd,60599.0,Hainer_Weg,80.0,8.69366941388715,50.0972193
2822,Bockenheim,60486.0,,,0.0,0.0
2823,Riedberg,60438.0,Altenhöferallee,30.0,8.632430895721829,50.17563505
2824,Westend_Süd,60325.0,Beethovenstr._,0.0,8.6560233,50.1155187
2825,Preungesheim,60435.0,Jaspertstr.,5.0,8.692970460977213,50.151658
2826,Bornheim,60385.0,Enkheimer_Str._,0.0,8.7190431,50.134573
2827,Bockenheim,60486.0,Colsmanstraße_,3.0,8.620691126182322,50.11333075
2828,Ostend,60316.0,Hölderlinstraße,,0.0,0.0
2829,Dornbusch,60431.0,,,0.0,0.0
2830,Eschersheim,60431.0,,,0.0,0.0
2831,Nordend_West,60318.0,Eckenheimer,40.0,8.68643482489365,50.1221253
2832,Sachsenhausen_Nord,60596.0,Stresemannallee_,49.0,8.674392504851951,50.094879899999995
2833,Bornheim,60385.0,,,0.0,0.0
2834,Oberrad,60599.0,An_der_Mannsfaust,,0.0,0.0
2835,Nordend_West,60435.0,Anneliese-Hoevel-Straße,13.0,8.694916,50.1389161
2836,Nordend_West,60318.0,,,0.0,0.0
2837,Fechenheim,60386.0,,,0.0,0.0
2838,Nordend_West,60318.0,,,0.0,0.0
2839,Niederrad,60528.0,Triftstraße,,0.0,0.0
2840,Niederrad,60528.0,Kelsterbacherstraße,44775.0,8.6416147,50.0883929
2841,Zeilsheim,65931.0,Hofheimer_Str.,0.0,8.4822801,50.0966091
2842,Nied,65934.0,Bergmannweg,11.0,8.57705395,50.105772
2843,Bonames,60437.0,Homburger_Landstraße,690.0,8.6667703864,50.18738755
2844,Sachsenhausen_Nord,60598.0,Richard-Strauß-Allee,44747.0,0.0,0.0
2845,Fechenheim,60386.0,Am_Roten_Graben,3.0,8.775791456337224,50.138512750000004
2846,Nordend_Ost,60316.0,Seumestr._,0.0,8.6987722,50.120146
2847,Nordend_West,60318.0,,,0.0,0.0
2848,Praunheim,60488.0,,,0.0,0.0
2849,Gallusviertel,60486.0,,,0.0,0.0
2850,Westend_Süd,60323.0,Eppsteiner_Strasse,37.0,8.666267193908897,50.12020295
2851,Bahnhofsviertel,60329.0,Mainluststraße,15.0,8.671105739300408,50.1068567
2852,Ostend,60316.0,,,0.0,0.0
2853,Ostend,60314.0,Ostendstraße,1.0,8.6945073,50.1107885
2854,Westend_Süd,60325.0,Kettenhofweg,66.0,8.663208449999999,50.11594495
2855,Sachsenhausen_Nord,60594.0,Gerbermühlstraße,57.0,8.702535222339247,50.10448385
2856,Westend_Süd,60325.0,Kettenhofweg,75.0,8.662170305203656,50.115769400000005
2857,Ostend,60314.0,Schwanenstr.,0.0,8.6946367,50.1113705
2858,Nordend_Ost,60316.0,Bäckerweg,10.0,8.69200765047743,50.1200629
2859,Nordend_Ost,60318.0,,,0.0,0.0
2860,Westend_Süd,60323.0,,,0.0,0.0
2861,Westend_Süd,60325.0,Beethovenstr._,0.0,8.6560233,50.1155187
2862,Ginnheim,60431.0,,,0.0,0.0
2863,Höchst,65929.0,Königsteinerstraße,21.0,8.545997567383584,50.103759499999995
2864,Kalbach,60437.0,,,0.0,0.0
2865,Innenstadt,60313.0,Große_Bockenheimer_Str.,0.0,8.6735555,50.1148008
2866,Nordend_West,60318.0,Zeißelstraße,20.0,8.690191266340783,50.1242774
2867,Bornheim,60385.0,Weidenbornstr.,39.0,8.7099424,50.130888
2868,Zeilsheim,65931.0,,,0.0,0.0
2869,Westend_Süd,60325.0,,,0.0,0.0
2870,Gutleutviertel,60327.0,Speicherstraße,33.0,8.66049521000064,50.1001963
2871,Sachsenhausen_Nord,60594.0,Gerbermühlstraße,33.0,8.701638856902768,50.1045409
2872,Gutleutviertel,60327.0,Hafenstr.,2.0,8.661181009402078,50.1001853
2873,Bockenheim,60486.0,Rödelheimer_Landstr.,,0.0,0.0
2874,Bahnhofsviertel,60329.0,Kaiserstrasse,0.0,8.665532734444444,50.107602
2875,Westend_Süd,60325.0,Kettenhofweg,106.0,8.65680345,50.11653735
2876,Niederrad,60528.0,Lyoner_Str.,19.0,8.624485471556243,50.081535450000004
2877,Gallusviertel,60327.0,Dubliner_Str.,2.0,8.647020182982203,50.10829645
2878,Westend_Süd,60325.0,Mendelssohnstrasse_/Ecke_Kettenhofweg,0.0,0.0,0.0
2879,Westend_Süd,60322.0,,,0.0,0.0
